source,target,cosine_similarity
558,14727,0.9749
558,12754,0.9748
6745,14725,0.9745
1959,1985,0.9739
7214,14057,0.9739
3750,10165,0.9738
5710,12353,0.9734
856,6627,0.9731
478,14990,0.9729
3650,5565,0.9729
3650,13254,0.9729
3650,4506,0.9729
3650,5765,0.9729
3650,7130,0.9729
3650,13468,0.9729
3650,13832,0.9729
5710,12367,0.9727
570,14727,0.9726
4121,12353,0.9724
570,12754,0.9721
558,6772,0.9720
6269,6590,0.9715
5565,15812,0.9714
13254,15812,0.9714
4506,15812,0.9714
5765,15812,0.9714
7130,15812,0.9714
13468,15812,0.9714
13832,15812,0.9714
4121,12367,0.9714
6772,14725,0.9709
2085,10235,0.9708
6751,10235,0.9708
10235,12743,0.9708
4121,10337,0.9706
11991,17493,0.9705
4918,13959,0.9705
3239,7175,0.9700
558,6745,0.9696
570,6772,0.9694
8327,19227,0.9692
287,8589,0.9691
10337,16030,0.9680
8589,12444,0.9677
570,6745,0.9662
13835,14406,0.9651
553,569,0.9648
553,4684,0.9648
569,580,0.9648
569,583,0.9648
569,14747,0.9648
569,15631,0.9648
580,4684,0.9648
583,4684,0.9648
4684,14747,0.9648
4684,15631,0.9648
554,12754,0.9644
12444,16091,0.9641
6745,12754,0.9638
14057,15457,0.9628
13914,16030,0.9627
16030,16119,0.9627
16030,16247,0.9627
14554,15022,0.9621
1985,10251,0.9611
391,6526,0.9609
12754,14727,0.9604
343,16091,0.9603
4668,14576,0.9600
12353,16030,0.9599
5739,8548,0.9598
6772,12754,0.9596
6647,14582,0.9592
2085,14576,0.9590
6751,14576,0.9590
12743,14576,0.9590
4668,10235,0.9586
6789,14026,0.9582
553,597,0.9576
553,599,0.9576
553,1942,0.9576
553,6776,0.9576
553,10094,0.9576
553,10097,0.9576
553,10098,0.9576
553,12758,0.9576
553,14729,0.9576
553,14738,0.9576
553,14739,0.9576
553,14741,0.9576
553,14744,0.9576
553,14745,0.9576
553,14746,0.9576
553,14748,0.9576
553,14749,0.9576
553,14750,0.9576
553,14751,0.9576
553,14752,0.9576
553,18524,0.9576
580,597,0.9576
580,599,0.9576
580,1942,0.9576
580,6776,0.9576
580,10094,0.9576
580,10097,0.9576
580,10098,0.9576
580,12758,0.9576
580,14729,0.9576
580,14738,0.9576
580,14739,0.9576
580,14741,0.9576
580,14744,0.9576
580,14745,0.9576
580,14746,0.9576
580,14748,0.9576
580,14749,0.9576
580,14750,0.9576
580,14751,0.9576
580,14752,0.9576
580,18524,0.9576
583,597,0.9576
583,599,0.9576
583,1942,0.9576
583,6776,0.9576
583,10094,0.9576
583,10097,0.9576
583,10098,0.9576
583,12758,0.9576
583,14729,0.9576
583,14738,0.9576
583,14739,0.9576
583,14741,0.9576
583,14744,0.9576
583,14745,0.9576
583,14746,0.9576
583,14748,0.9576
583,14749,0.9576
583,14750,0.9576
583,14751,0.9576
583,14752,0.9576
583,18524,0.9576
597,14747,0.9576
597,15631,0.9576
599,14747,0.9576
599,15631,0.9576
1942,14747,0.9576
1942,15631,0.9576
6776,14747,0.9576
6776,15631,0.9576
10094,14747,0.9576
10094,15631,0.9576
10097,14747,0.9576
10097,15631,0.9576
10098,14747,0.9576
10098,15631,0.9576
